Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed,Surface Albedo Units,Version
NSRDB,1081560,-,-,-,41.53,-79.26,-5,419,-5,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Wind Direction,Wind Speed,Surface Albedo
2012,1,1,0,30,0,0,0,0,0,960.0,187.70000000000002,0.30000000000000004,0.108
2012,1,1,1,30,0,0,0,0,0,960.0,185.3,0.4,0.108
2012,1,1,2,30,0,0,0,0,0,960.0,185.9,0.4,0.108
2012,1,1,3,30,0,0,0,0,0,960.0,181.10000000000002,0.5,0.108
2012,1,1,4,30,0,0,0,0,0,960.0,173.4,0.6000000000000001,0.108
2012,1,1,5,30,0,0,0,0,0,960.0,168.70000000000002,0.6000000000000001,0.108
2012,1,1,6,30,0,0,0,0,0,960.0,163.3,0.7000000000000001,0.108
2012,1,1,7,30,0,0,0,0,0,960.0,151.4,0.8,0.108
2012,1,1,8,30,416,34,80,0,1,960.0,145.5,0.9,0.108
2012,1,1,9,30,657,57,220,1,2,950.0,146.5,1.0,0.108
2012,1,1,10,30,0,22,22,2,4,950.0,150.20000000000002,1.0,0.108
2012,1,1,11,30,0,6,6,2,5,950.0,157.3,1.0,0.108
2012,1,1,12,30,0,30,30,3,5,950.0,193.70000000000002,1.0,0.108
2012,1,1,13,30,0,20,20,4,5,950.0,199.70000000000002,1.0,0.108
2012,1,1,14,30,0,10,10,4,5,950.0,204.60000000000002,1.0,0.108
2012,1,1,15,30,0,5,5,4,5,950.0,220.3,1.2000000000000002,0.108
2012,1,1,16,30,103,26,32,2,4,950.0,234.60000000000002,1.3,0.108
2012,1,1,17,30,0,0,0,2,2,950.0,243.4,1.4000000000000001,0.108
2012,1,1,18,30,0,0,0,0,1,950.0,252.70000000000002,1.4000000000000001,0.108
2012,1,1,19,30,0,0,0,0,0,950.0,256.5,1.3,0.866
2012,1,1,20,30,0,0,0,-1,0,950.0,255.20000000000002,1.3,0.866
2012,1,1,21,30,0,0,0,-2,0,950.0,255.60000000000002,1.3,0.866
2012,1,1,22,30,0,0,0,-4,-1,950.0,254.9,1.2000000000000002,0.866
2012,1,1,23,30,0,0,0,-4,-2,950.0,252.0,1.2000000000000002,0.866
2012,1,2,0,30,0,0,0,-5,-2,950.0,249.3,1.2000000000000002,0.866
2012,1,2,1,30,0,0,0,-5,-2,950.0,248.9,1.2000000000000002,0.866
2012,1,2,2,30,0,0,0,-5,-2,950.0,249.3,1.2000000000000002,0.866
2012,1,2,3,30,0,0,0,-5,-2,950.0,249.8,1.2000000000000002,0.866
