Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed,Surface Albedo Units,Version
NSRDB,1198368,-,-,-,40.17,-75.42,-5,78,-5,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Wind Direction,Wind Speed,Surface Albedo
2009,1,1,0,30,0,0,0,-12,-5,1000.0,313.3,1.8,0.127
2009,1,1,1,30,0,0,0,-12,-5,1000.0,315.8,1.8,0.127
2009,1,1,2,30,0,0,0,-13,-6,1010.0,317.90000000000003,1.9000000000000001,0.127
2009,1,1,3,30,0,0,0,-13,-6,1010.0,318.5,1.8,0.127
2009,1,1,4,30,0,0,0,-13,-7,1010.0,319.90000000000003,1.7000000000000002,0.127
2009,1,1,5,30,0,0,0,-14,-7,1010.0,324.0,1.6,0.127
2009,1,1,6,30,0,0,0,-14,-8,1010.0,326.40000000000003,1.4000000000000001,0.127
2009,1,1,7,30,0,0,0,-14,-7,1010.0,323.40000000000003,1.4000000000000001,0.127
2009,1,1,8,30,650,40,146,-14,-6,1010.0,321.6,1.4000000000000001,0.127
2009,1,1,9,30,824,55,300,-14,-5,1010.0,320.40000000000003,1.3,0.127
2009,1,1,10,30,898,63,415,-14,-4,1010.0,319.20000000000005,1.3,0.127
2009,1,1,11,30,924,68,478,-13,-3,1010.0,317.1,1.2000000000000002,0.127
2009,1,1,12,30,918,69,481,-13,-2,1010.0,314.8,1.1,0.127
2009,1,1,13,30,896,64,426,-12,-2,1010.0,311.8,1.0,0.127
2009,1,1,14,30,830,56,319,-12,-2,1010.0,310.0,0.9,0.127
2009,1,1,15,30,685,42,173,-11,-3,1010.0,309.6,0.5,0.127
2009,1,1,16,30,271,14,23,-9,-5,1010.0,304.0,0.30000000000000004,0.127
2009,1,1,17,30,0,0,0,-9,-6,1010.0,293.5,0.4,0.127
2009,1,1,18,30,0,0,0,-9,-6,1010.0,277.7,0.6000000000000001,0.127
2009,1,1,19,30,0,0,0,-10,-6,1010.0,255.20000000000002,0.7000000000000001,0.127
2009,1,1,20,30,0,0,0,-10,-6,1010.0,227.9,0.8,0.127
2009,1,1,21,30,0,0,0,-10,-6,1010.0,208.8,0.6000000000000001,0.127
2009,1,1,22,30,0,0,0,-9,-6,1010.0,189.70000000000002,0.4,0.127
2009,1,1,23,30,0,0,0,-9,-6,1010.0,177.10000000000002,0.5,0.127
2009,1,2,0,30,0,0,0,-9,-6,1010.0,172.4,0.6000000000000001,0.127
2009,1,2,1,30,0,0,0,-9,-5,1010.0,171.4,0.7000000000000001,0.127
2009,1,2,2,30,0,0,0,-8,-5,1010.0,170.3,0.7000000000000001,0.127
2009,1,2,3,30,0,0,0,-8,-5,1000.0,168.5,0.7000000000000001,0.127
2009,1,2,4,30,0,0,0,-7,-4,1000.0,168.5,0.7000000000000001,0.127
2009,1,2,5,30,0,0,0,-7,-4,1000.0,171.20000000000002,0.8,0.127
2009,1,2,6,30,0,0,0,-6,-3,1000.0,174.9,0.9,0.127
2009,1,2,7,30,0,0,0,-5,-2,1000.0,180.10000000000002,0.9,0.127
2009,1,2,8,30,106,61,78,-5,-1,1000.0,185.8,0.9,0.127
